_catalog_row,imdb_resolved_id,imdb_match_method,imdb_match_status,imdb_match_candidates
78842,tt0473415,existing_imdb_id,matched,1
78843,tt0338653,existing_imdb_id,matched,1
78844,tt0324036,existing_imdb_id,matched,1
78845,tt0493199,existing_imdb_id,matched,1
78846,,,not_found,0
78847,tt0441826,existing_imdb_id,matched,1
78848,tt0843193,exact_title_type_year,matched,1
78849,tt0369131,existing_imdb_id,matched,1
78850,tt0380113,existing_imdb_id,matched,1
78851,tt0329858,existing_imdb_id,matched,1
78852,,,not_found_correct_type,0
78853,tt18568124,exact_title_type_year,matched,1
78854,tt0372677,exact_title_type_year,matched,1
78855,tt1041502,existing_imdb_id,matched,1
78856,tt0756273,exact_title_type_year,matched,1
78857,tt0339960,exact_title_type_year,matched,1
78858,tt0302095,existing_imdb_id,matched,1
78859,tt0329938,existing_imdb_id,matched,1
78860,tt0302103,existing_imdb_id,matched,1
78861,tt0462147,existing_imdb_id,matched,1
78862,tt0278441,exact_title_type_year_plus_minus_one,matched,1
78863,tt0337791,existing_imdb_id,matched,1
78864,,,not_found,0
78865,tt1441480,existing_imdb_id,matched,1
78866,tt1514084,existing_imdb_id,matched,1
78867,,,not_found,0
78868,tt19400660,exact_title_type_year,matched,1
78869,tt1113595,existing_imdb_id,matched,1
78870,tt0306273,existing_imdb_id,matched,1
78871,tt23459570,exact_title_type_year,matched,1
78872,tt0397010,exact_title_type_year,matched,1
78873,tt0288403,existing_imdb_id,matched,1
78874,,,not_found,0
78875,tt0328743,exact_title_type_year,matched,1
78876,tt0358800,exact_title_type_year,matched,1
78877,tt0324919,existing_imdb_id,matched,1
78878,tt0335650,existing_imdb_id,matched,1
78879,tt0488683,existing_imdb_id,matched,1
78880,tt0307714,exact_title_type_year,matched,1
78881,tt0439949,existing_imdb_id,matched,1
78882,tt0306348,exact_title_type_year,matched,1
78883,tt0364174,exact_title_type_year,matched,1
78884,tt19368680,exact_title_type_year,matched,1
78885,tt12409686,existing_imdb_id,matched,1
78886,tt1058042,exact_title_type_year,matched,1
78887,tt0424743,existing_imdb_id,matched,1
78888,tt0337539,existing_imdb_id,matched,1
78889,tt0327759,existing_imdb_id,matched,1
78890,tt0420413,existing_imdb_id,matched,1
78891,tt0337764,existing_imdb_id,matched,1
78892,tt0320858,existing_imdb_id,matched,1
78893,tt0367323,existing_imdb_id,matched,1
78894,,,not_found,0
78895,tt0369167,existing_imdb_id,matched,1
78896,tt7781862,existing_imdb_id,matched,1
78897,tt0318904,existing_imdb_id,matched,1
78898,tt1276499,existing_imdb_id,matched,1
78899,tt0350396,existing_imdb_id,matched,1
78900,tt0896680,existing_imdb_id,matched,1
